Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_AC,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RM,R_HEAT_TYP,YR_BUILT,Latitude,Longitude
201095000,1004000,389.3,2579,Conventional,2944,3,3,3,1,1,C,0,R1,N,CV,F,W,6,W,1870,42.38068,-71.06917
201098000,1112500,661.02,1683,Row End,2244,3,3,1,0,1,N,3,R1,Y,RE,F,B,7,W,1875,42.380867,-71.069307
201120000,1150000,436.93,2632,Row Middle,3632,3,3,2,1,1,N,2,R1,Y,RM,F,B,9,W,1880,42.38093,-71.06961
201135000,949000,412.97,2298,Semi?Det,3058,3,3,2,1,1,C,0,R1,Y,SD,M,F,9,F,1885,42.38121,-71.06986
201140000,1025000,561.95,1824,Row Middle,2432,3,3,2,1,1,N,2,R1,Y,RM,F,F,7,W,1885,42.3816,-71.06933
201181000,900000,324.44,2762,Row Middle,3819,3,5,2,0,2,N,0,R2,Y,RM,F,B,11,W,1880,42.38202,-71.07016
201224010,1000000,586.17,1706,Row End,2512,2.5,3,2,2,1,C,2,R1,Y,RE,G,B,5,F,2001,42.382669,-71.070634
201249000,1117500,477.56,2409,Row End,3686,3,4,2,1,1,C,1,R1,Y,RE,F,F,17,F,2005,42.383298,-71.070992
201361000,540000,484.74,1114,Row Middle,1228,3,2,1,1,1,N,0,R1,Y,RM,M,F,5,W,1870,42.38324,-71.06882
201387000,879000,557.03,1578,Colonial,2458,2,4,1,1,1,N,1,R1,Y,CL,G,W,7,W,1965,42.382672,-71.069145
201506000,870000,587.84,1480,Colonial,2472,2,3,3,0,1,C,1,R1,Y,CL,G,F,6,F,1890,42.38163,-71.06657
201595000,536000,515.38,1040,Row End,1600,2,2,1,0,1,N,0,R1,N,RE,F,M,5,W,1850,42.381731,-71.06418
201615000,895000,500.84,1787,Semi?Det,2007,3,3,3,1,1,C,1,R1,Y,SD,F,F,6,F,2011,42.38119,-71.063645
201626000,760000,514.21,1140,Row Middle,1915,2,3,1,1,1,N,0,R1,Y,RM,G,F,5,F,1865,42.381005,-71.06383
201775000,825000,668.02,1235,Semi?Det,2112,2,4,1,1,1,N,1,R1,Y,SD,G,W,8,W,1860,42.38008,-71.063297
202068000,550000,258.58,2127,Colonial,3604,2.5,3,1,1,1,N,0,R1,Y,CL,G,F,6,W,1838,42.38358,-71.07859
202078000,560000,253.85,2206,Colonial,3010,3,2,1,1,1,N,0,R1,Y,CL,F,M,11,W,1900,42.383903,-71.078772
202510000,658000,408.95,1532,Row End,2272,2.5,5,2,1,1,N,0,R1,N,RE,G,W,7,W,1875,42.379002,-71.069679
202518000,965000,414.7,2327,Row End,3128,3.5,4,4,0,3,N,0,R3,N,RE,G,S,8,F,1870,42.379251,-71.069712
202930000,878000,379.59,2313,Colonial,3576,2.5,4,3,0,1,C,2,R1,Y,CL,G,F,9,F,1994,42.37571,-71.05659
203053000,980075,390.78,2508,Conventional,3688,3,6,2,0,2,N,0,R2,N,CV,F,M,16,W,1890,42.37784,-71.06067
203098000,950000,581.04,1635,Semi?Det,2505,2,3,1,1,1,C,0,R1,Y,SD,G,M,7,F,1890,42.37757,-71.06183
203100000,850000,408.65,2080,Conventional,2745,3,3,2,0,2,N,0,R2,Y,CV,F,M,8,W,1905,42.37766,-71.06175
203107000,865000,286.14,3023,Conventional,4144,3,3,3,0,2,N,0,R2,N,CV,F,M,12,W,1885,42.378,-71.06146
203118000,1575000,602.99,2612,Row Middle,2807,3,4,2,1,1,C,1,R1,Y,RM,M,B,8,F,1865,42.37669,-71.06254
203125010,899000,561.88,1600,Semi?Det,2120,3,3,2,0,1,C,0,R1,Y,SD,F,F,7,W,1993,42.377,-71.06236
203129000,1875000,651.49,2878,Row Middle,3790,3,3,3,0,1,N,4,R1,Y,RM,F,B,10,F,1850,42.37685,-71.06213
203135000,1502741,593.03,2467,Row Middle,3644,3,3,3,0,1,N,0,R1,Y,RM,M,B,8,F,1839,42.37655,-71.06227
203151000,1775000,893.76,1986,Semi?Det,2680,3,5,3,1,1,C,1,R1,Y,SD,F,B,7,W,1855,42.37663,-71.06201
203202000,1000000,466.85,2142,Row End,2856,3,4,1,1,1,N,0,R1,N,RE,F,B,9,W,1857,42.37493,-71.06286
203271000,1500000,813.01,1845,Row Middle,2720,3,3,2,1,1,C,2,R1,Y,RM,M,B,6,F,1875,42.37467,-71.06144
203495000,1350000,479.4,2816,Row Middle,4155,3,4,1,1,1,N,0,R1,Y,RM,G,B,8,W,1860,42.374156,-71.058772
203727000,2000000,668.45,2992,Semi?Det,3740,4,4,3,1,2,C,3,R2,Y,SD,M,B,10,W,1882,42.3723,-71.0635
203769000,1130000,716.55,1577,Colonial,2232,2.5,4,2,0,1,N,4,R1,Y,CL,L,F,7,F,1850,42.372966,-71.063743
203776000,1654250,728.42,1840,Row Middle,2524,3,4,2,1,1,C,0,R1,Y,RM,F,F,8,F,1870,42.37353,-71.06353
